id;tip;kod;ad;adres;telefon;il_kod;il_ad;ilce_kod;ilce_ad;mahalle_ad;lat;lon;hafta_ici;cumartesi;pazar;aktiflik;guncellenme_tarihi
3712;PTT_SUBE;2845;KARAİSALI MÜDÜRLÜĞÜ;SELAMPINAR MAHALLESİ CUMHURİYET CADDE No: 10 A KARAİSALI ADANA;03225512615;1;ADANA;;;;37.255595052;35.059356243;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3710;PTT_SUBE;6296;KERESTECİLER SİTESİ  MÜDÜRLÜĞÜ;GÜZELEVLER MAHALLESİ PALMİYE CADDE No: 3 YÜREĞİR ADANA;03223462075;1;ADANA;;;;36.98203;35.39954;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3709;PTT_SUBE;7997;KIŞLA  ŞUBESİ;KIŞLA MAHALLESİ ŞEHİT ÖZKAN ALTINOK SOKAK No: 43 YÜREĞİR ADANA;03223280091;1;ADANA;;;;37.016105508;35.335076623;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3708;PTT_SUBE;2849;KOZAN MÜDÜRLÜĞÜ;CUMHURİYET MAHALLESİ EMNİYET SOKAK No: 8 KOZAN ADANA;03225157666;1;ADANA;;;;37.450515;35.813413;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3707;PTT_SUBE;2915;KURTKULAĞI ACENTELİĞİ;KURTKULAĞI MAHALLESİ 3713 SOKAK No: 13 CEYHAN ADANA;03226427264;1;ADANA;;;;36.922005;35.886663;09:00-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3706;PTT_SUBE;6981;KÜÇÜKDİKİLİ  ŞUBESİ;SÖĞÜTLÜ MAHALLESİ ŞEHİTLİK CADDE No: 47 A SEYHAN ADANA;03224855050;1;ADANA;;;;36.99959652;35.20917648;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3705;PTT_SUBE;6936;MAVİ BULVAR  ŞUBESİ;YEŞİLYURT MAHALLESİ AHMET SAPMAZ BULVAR No: 16 F SEYHAN ADANA;03222282464;1;ADANA;;;;37.02877398;35.29903752;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3704;PTT_SUBE;2919;MERCİMEK ACENTELİĞİ;MERCİMEK MAHALLESİ 3935 BULVAR No: 33 CEYHAN ADANA;05455256270;1;ADANA;;;;37.10337696;35.79447312;09:00-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3703;PTT_SUBE;7256;ORGANİZE SANAYİ  ŞUBESİ;ACIDEREOSB MAHALLESİ TURGUT ÖZAL BULVAR No: 6 SARIÇAM ADANA;03223944383;1;ADANA;;;;36.972225;35.594093;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3702;PTT_SUBE;6969;OSMANGAZİ  ŞUBESİ;OSMANGAZİ MAHALLESİ 2008 SOKAK No: 3 SARIÇAM ADANA;03223430741;1;ADANA;;;;37.069863039;35.407277549;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3701;PTT_SUBE;2848;POZANTI MÜDÜRLÜĞÜ;CUMHURİYET MAHALLESİ ATATÜRK CADDE No: 54 POZANTI ADANA;03225813001;1;ADANA;;;;37.423417283;34.872492004;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3699;PTT_SUBE;2817;SANAYİ SİTESİ  ŞUBESİ;İNÖNÜ MAHALLESİ SANAYİ CADDE No: 57 CEYHAN ADANA;03226139494;1;ADANA;;;;37.041420379;35.819962085;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3698;PTT_SUBE;6103;SARIÇAM  MÜDÜRLÜĞÜ;MEHMET AKİF ERSOY MAHALLESİ SEZAİ KARAKOÇ BULVAR No: 46 A SARIÇAM ADANA;03225037892;1;ADANA;;;;37.02049709;35.398519547;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3697;PTT_SUBE;8583;SAYDAM ŞUBESİ;ÇINARLI MAHALLESİ 61003 SOKAK No:3 C SEYHAN ADANA;00000000000;1;ADANA;;;;36.990933;35.322572;08:30-12:30 / 13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3700;PTT_SUBE;2850;SAİMBEYLİ MÜDÜRLÜĞÜ;İSLAM MAHALLESİ ŞEHİT UFUK ÇINAR CADDE No: 10 SAİMBEYLİ ADANA;03227612001;1;ADANA;;;;37.98449;36.08978;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3696;PTT_SUBE;5224;SERİNEVLER  ŞUBESİ;SELAHATTİN EYYUBİ MAHALLESİ ŞEHİT J.ER.MUSTAFA GÖKSAL CADDE No: 62 YÜREĞİR ADANA;03223281767;1;ADANA;;;;37.008145;35.364352;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3695;PTT_SUBE;3983;SEYHAN POSTA KARGO DAĞITIM MÜDÜRLÜĞÜ;FEVZİPAŞA MAHALLESİ 48019 SOKAK No: 16 /1 SEYHAN ADANA;03222483940;1;ADANA;;;;36.996029;35.278117;08:30-17:30;08:30-17:30;KAPALI;1;2026-09-21 08:29:53
